,parcelid,logerror,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,month_buyed,day_buyed,builded_buyed,county
29263,17096131,-0.0502,,,,2.0,3.0,,,2.0,,,,,,,,,6111.0,,2.0,2.0,0.0,,,34293600.0,-119151000.0,,,,,,,1129,266.0,,61110012.012,26965.0,2061.0,,97084.0,0.0,,,,,,,,,79000.0,119034.0,2015.0,40034.0,1320.02,,,,4,27,507.0,0
33076,17096129,-0.0398,,,,2.5,3.0,,,2.5,,,,,,,,,6111.0,,2.0,2.0,0.0,,,34293600.0,-119151000.0,,,,,,,1129,266.0,,61110012.012,26965.0,2061.0,,97084.0,0.0,,1.0,,,,,,,79000.0,119034.0,2015.0,40034.0,1320.02,,,,5,6,516.0,0
15599,17200200,-0.0921,,,,2.5,3.0,,,2.5,,839.0,1971.0,1971.0,,,839.0,,6111.0,,2.0,2.0,0.0,,,34278622.0,-118875878.0,,,,,,,1129,266.0,,61110076.121002,25974.0,2061.0,,97097.0,6.0,,1.0,,,,,2.0,,222355.0,286489.0,2015.0,64134.0,3327.94,,,,3,10,820.0,0
47910,17057427,0.0119,,,,1.0,2.0,,,1.0,,908.0,908.0,908.0,,,908.0,,6111.0,,1.0,2.0,420.0,,,34449820.0,-119229782.0,4356.0,,,,,,1111,261.0,,61110009.031,13091.0,2061.0,,97099.0,4.0,,,,,,,1.0,,143909.0,287818.0,2015.0,143909.0,3927.6,,,,6,21,15681.0,0
23821,162960829,-0.0704,,,,2.0,3.0,,,2.0,,1650.0,1650.0,1650.0,,,1650.0,,6111.0,1.0,2.0,2.0,460.0,,,34275194.0,-118756713.0,7200.0,,,,,,1111,261.0,,61110079.043008,27110.0,2061.0,,97118.0,6.0,,,,,,,1.0,,175143.0,270669.0,2015.0,95526.0,3248.82,,,,4,8,15968.0,0
66500,17063524,-0.1393,,,,2.0,4.0,,,2.0,66.0,1378.0,1378.0,1378.0,,,1378.0,,6111.0,1.0,2.0,2.0,520.0,,,34410620.0,-118912460.0,10995.0,,,,,,1110,261.0,,61110003.022069,18098.0,2061.0,,97094.0,8.0,,,,,234.0,,1.0,,67578.0,98498.0,2015.0,30920.0,1094.92,,,,8,16,18616.0,0
126,17188935,-0.002,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,13581.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,204653.0,2015.0,204653.0,2254.2,,,,1,4,,0
1408,17188934,0.0695,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,7797.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1547.88,,,,1,8,,0
3074,17112283,-0.0812,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249594.0,-119170848.0,5196.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2556.64,,,,1,15,,0
3293,17205384,-0.1031,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34304152.0,-118870389.0,11699.0,,,,,,1014,269.0,,61110076.131002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,284293.0,2015.0,284293.0,4972.48,,,,1,19,,0
3755,17266056,-0.5175,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34181296.0,-118911940.0,,,,,,,1129,266.0,,61110059.082005,34278.0,2061.0,46736.0,96351.0,0.0,,,,,,,,,,159641.0,2015.0,159641.0,1789.38,,,,1,20,,0
4338,17188871,-0.0263,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5678.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,1,22,,0
4522,17196550,-0.2472,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34273297.0,-118871370.0,17186.0,,,,,,1014,269.0,,61110076.101,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,35953.0,2015.0,35953.0,448.82,,,,1,22,,0
6690,17188954,-0.005,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,7205.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1546.06,,,,2,1,,0
7330,17205324,0.0334,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34306031.0,-118868526.0,11812.0,,,,,,1014,269.0,,61110076.131002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,284293.0,2015.0,284293.0,8857.16,,,,2,3,,0
7391,17188869,0.01,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5484.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,2,4,,0
7434,17188856,0.0402,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5522.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,2,4,,0
7785,17112824,-0.1427,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34253842.0,-119168175.0,4858.0,,,,,,1014,269.0,,61110050.041019,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,5,,0
7796,17112826,-0.045,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34253979.0,-119168451.0,4858.0,,,,,,1014,269.0,,61110050.041019,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,5,,0
7797,17112827,-0.1462,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34254064.0,-119168631.0,4587.0,,,,,,1014,269.0,,61110050.041019,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2412.72,,,,2,5,,0
7846,17112286,-0.0305,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249360.0,-119170579.0,3643.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2090.84,,,,2,5,,0
8103,17188852,-0.004,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5598.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,2,8,,0
8152,17188868,-0.004,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5510.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,2,8,,0
8344,17205116,-0.0377,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34298416.0,-118878340.0,13671.0,,,,,,1014,269.0,,61110076.061008,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,218136.0,2015.0,218136.0,2426.5,,,,2,9,,0
8998,17266054,-0.3285,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34181636.0,-118911935.0,,,,,,,1129,266.0,,61110059.082005,34278.0,2061.0,46736.0,96351.0,0.0,,,,,,,,,,159641.0,2015.0,159641.0,1789.38,,,,2,11,,0
9153,17112930,-0.0481,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34247880.0,-119173191.0,4858.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,12,,0
9532,17112909,0.0178,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249395.0,-119168859.0,3903.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,86459.0,2015.0,86459.0,2197.92,,,,2,16,,0
9855,17112907,0.0257,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34232295.0,-119174659.0,3969.0,,,,,,1014,269.0,,61110030.12,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,86459.0,2015.0,86459.0,2217.48,,,,2,17,,0
10273,17112929,-0.1233,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34247880.0,-119173191.0,4858.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,18,,0
10300,17188849,-0.001,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5681.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,2,19,,0
10389,17112928,-0.079,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34247880.0,-119173191.0,4858.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,19,,0
10437,17112908,0.0119,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249395.0,-119168859.0,3903.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,86459.0,2015.0,86459.0,2197.92,,,,2,19,,0
10551,17112906,0.0188,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249395.0,-119168859.0,4835.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,86459.0,2015.0,86459.0,2477.12,,,,2,19,,0
10570,17188957,-0.1132,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34206064.0,-119022558.0,6800.0,,,,,,1111,261.0,,61110056.00305,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,2,19,,0
